SR Pos,Signal Name,Signal Type,Source Line Number,Source File Name,File Path
0,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
1,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
2,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
3,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
4,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
5,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
6,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
7,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
8,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
9,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
10,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
11,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
12,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
13,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
14,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
15,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
16,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
17,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
18,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
19,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
20,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
21,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
22,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
23,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
24,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
25,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
26,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
27,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
28,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
29,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
30,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
31,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
32,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
33,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
34,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
35,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
36,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
37,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
38,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
39,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
40,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
41,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_1_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
