SR Pos,Signal Name,Signal Type,Source Line Number,Source File Name,File Path
0,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
1,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
2,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
3,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
4,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
5,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
6,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
7,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
8,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
9,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
10,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
11,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
12,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
13,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
14,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
15,c,wire,9,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
16,\tmp[0][0],wire,10,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
17,\tmp[0][10],wire,11,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
18,\tmp[0][11],wire,12,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
19,\tmp[0][12],wire,13,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
20,\tmp[0][13],wire,14,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/Benchmarks/Cores/posit_add/sbtr/Module_0_gate.v,/home/juancho/Documents/GitHub/EmuFaultSim/BenchpyRTLFIv1/FI/sabotuer_scripts
